Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing
57M1543,423085,444586
57N0424,426925,433434
57O0380,419417,441694
57O0380,419417,441694
57O0380,419417,441694
57O1099,429768,433594
57O1304,430070,433831
57O1424,421167,434475
57O1833,428141,435847
57P0643,440485,449152
57P0643,440485,449152
57P0749,429835,444903
57P0960,431134,426524
57P1851,425450,428564
57P1851,425450,428564
57Q1077,433480,435111
57Q1077,433480,435111
57Q1077,433480,435111
57Q1595,430617,432659
57Q1595,430617,432659
57Q1904,426805,432071
57R0574,428393,434072
57R0785,428444,427381
57R1000,443590,437926
57R1000,443590,437926
57R1000,443590,437926
57R1147,431203,428830
57S1169,425540,432573
57S1169,425540,432573
57S1894,430185,433924
57T1218,422595,432818
57T1504,433562,434960
57T1698,428012,424363
57U0895,430863,434189
57U1349,431915,428213
57U1496,426269,434031
57V0747,420337,437129
57V1105,423571,434342
57V1380,430261,433751
57V1541,429990,431009
5810777,417956,442938
5810793,432519,427209
5810794,431384,432387
5811528,431883,435258
5811727,432855,435969
5811845,430453,431650
5812124,431879,435362
5820526,433151,426329
5821436,428400,430476
5821942,429287,435065
5822057,430892,436416
5830755,432167,438806
5830755,432167,438806
5830755,432167,438806
5830993,434502,437179
5831173,436344,436609
5831346,432321,436216
5831990,433795,437143
5831990,433795,437143
5832124,428849,431623
5841254,436099,434818
5841303,435672,434959
5841440,428838,436574
5850339,418943,441618
5850615,436172,427678
5851272,429913,433798
5851272,429913,433798
5851554,428907,435508
5860620,427559,425418
5860974,429738,432940
5860974,429738,432940
5861096,430953,435784
5870425,429136,433091
5871023,438616,429677
5872058,426301,435528
5880378,428800,431635
5890376,421388,444901
5890759,429389,428107
5890925,434860,437986
5891133,430083,431196
5891270,433021,434136
5891270,433021,434136
5891270,433021,434136
5891423,425042,433160
5891432,432309,434658
5891451,433219,430020
5891451,433219,430020
5891725,429769,430729
5891970,424992,432896
58A0430,430800,433273
58A0479,428934,429851
58A0751,430261,433751
58A0781,436168,434462
58A1784,433105,432725
58B0940,433873,434068
58B0940,433873,434068
58B1078,430808,433272
58B9999,428004,426232
58C1036,434804,428897
58C1229,431083,436053
58C1412,429738,432940
58D0398,430278,431938
58D0477,429146,432000
58D0477,429146,432000
58D0592,430078,433890
58E1131,422028,436565
58E1131,422028,436565
58F0056,426720,426699
58F1534,427340,427812
58G0123,431320,435044
58G0689,431622,434439
58G0696,426576,433900
58G1310,430400,437873
58G1314,430301,433388
58G1532,425993,429974
58G1947,428526,429635
58H0461,431996,432335
58H1535,420075,439061
58H1705,428581,431546
58I0137,429109,433835
58I0137,429109,433835
